Attribute Set,Attribute,New Value,,,,,,,,,,,,,,,,,,,,,,,
*Access Points,,,,,,,,,,,,,,,,,,,,,,,,,
,Power POE TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Ethernet Port TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,WIFI TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
*CPU,,,,,,,,,,,,,,,,,,,,,,,,,
,Post TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Stability TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
*Desktops,,,,,,,,,,,,,,,,,,,,,,,,,
,CPU TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Memory TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Motherboard TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Power Supply TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Expansion Slots TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Port TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
*Graphics Card,,,,,,,,,,,,,,,,,,,,,,,,,
,Outputs TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Audio TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
*HDDs,,,,,,,,,,,,,,,,,,,,,,,,,
,-,-,,,,,,,,,,,,,,,,,,,,,,,
*Keyboards,,,,,,,,,,,,,,,,,,,,,,,,,
,Key TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Controls TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
*Laptops,,,,,,,,,,,,,,,,,,,,,,,,,
,Power Supply TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Screen TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Touchscreen TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Battery Port TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Port TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Speaker TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Battery TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Card Reader TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Wencam TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,CPU TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Motherboard TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Memory TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Keyboard TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
*MacBooks,,,,,,,,,,,,,,,,,,,,,,,,,
,Power Supply TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Motherboard TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,CPU TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
,Memory TEST,successful,,,,,,,,,,,,,,,,,,,,,,,
